,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,right_hip_ankle_angle,left_hip_ankle_angle,center_spine_x,center_spine_y,target
1815,0.6098601818084717,0.2835595905780792,0.6040256023406982,0.2944165468215942,177.0695731083375,178.20694443223587,0.5507234930992126,0.3828910142183304,0
1816,0.6100550293922424,0.284219741821289,0.6014204621315002,0.2946856319904327,175.77172067803147,178.37235158073509,0.5493939220905304,0.3838194608688354,0
1817,0.6047647595405579,0.2795182764530182,0.6040846705436707,0.2969730794429779,175.13783777920557,176.42262968699922,0.5530470013618469,0.3785303682088852,0
1818,0.5999810695648193,0.2768751978874206,0.6082635521888733,0.3051265478134155,176.4567015035096,174.76866769541468,0.5550462603569031,0.3752956837415695,0
1819,0.5983594059944153,0.2790952324867248,0.6080752015113831,0.3057737052440643,176.99466296553734,175.44031414257205,0.5545303821563721,0.3767317533493042,0
1820,0.5975437760353088,0.2803728282451629,0.6072482466697693,0.3063647449016571,178.0014240196565,176.327331536921,0.5524134188890457,0.3784550875425339,0
1821,0.596813976764679,0.2812219262123108,0.6076202988624573,0.3095719814300537,178.16379449507,176.29703008925142,0.5522459000349045,0.379561647772789,0
1822,0.5964235663414001,0.2821329534053802,0.6078215837478638,0.3105334043502807,177.8116548688665,176.05987055738208,0.5523648709058762,0.3804117143154144,0
1823,0.59455406665802,0.2823241353034973,0.6090174317359924,0.315637469291687,176.37539797736338,173.7526737317796,0.5533953011035919,0.3792455196380615,0
1824,0.5929585695266724,0.2867995500564575,0.608576238155365,0.3169580698013305,175.47849665426318,173.68175008747653,0.5531184673309326,0.3821185231208801,0
1825,0.5901925563812256,0.2939561307430267,0.6083462834358215,0.3172480165958404,175.73561914712445,173.99387890594107,0.5521121621131897,0.3866973221302032,0
1826,0.5913712978363037,0.2960082292556762,0.6076081395149231,0.3167676329612732,175.51804266973448,173.81055110016192,0.5511302649974823,0.3885907679796219,0
1827,0.5918987393379211,0.294909805059433,0.6029024720191956,0.3148636817932129,175.79249958904634,173.57610905088603,0.5483841896057129,0.3877871632575989,0
1828,0.5921971797943115,0.2943593561649322,0.6023018956184387,0.3146255910396576,175.84748566859054,172.95178181592723,0.5471552461385727,0.388276144862175,0
1829,0.5925787091255188,0.2928774654865265,0.6016736626625061,0.3144948780536651,175.9861813422716,173.00893028975187,0.5468070060014725,0.3875376284122467,0
1830,0.5930455327033997,0.2914972901344299,0.6019084453582764,0.3142821490764618,176.04707471395207,172.96506496077174,0.5469391047954559,0.3877106606960296,0
1831,0.5934104323387146,0.2881785929203033,0.6057481169700623,0.3141392767429352,176.98071505008642,173.26961381342466,0.5495573282241821,0.3860633671283722,0
1832,0.6002773642539978,0.2869070470333099,0.6081269979476929,0.3099283576011657,176.8867578982074,174.80445039982652,0.5513688176870346,0.3854365348815918,0
